"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,Seguimentos,Comentários,Salvamentos
18041073605657882,17841402073846050,institutolucianeprado,"Instituto Luciane Prado","O tempo passa… e a sua pele sente.
Os cuidados que você adia hoje são os mesmos que, no futuro, podem se tornar arrependimentos. Não é sobre mudar o passado, mas sobre fazer escolhas melhores agora.
Sua pele merece atenção antes dos sinais chegarem—e você merece se sentir bem nela em qualquer fase da vida. ✨
E aí, qual hábito você está negligenciando? Conte nos comentários!",0,"09/02/2025 15:00",https://www.instagram.com/p/DOHacsgEqZV/,"Carrossel do Instagram",,Total,11881,1675,94,2,0,4,1
18069269738040078,17841402073846050,institutolucianeprado,"Instituto Luciane Prado","Nos bastidores de um mês que convida ao cuidado.

Consegue imaginar o que vem por aí? 🖤

.
.
𝗖𝗼𝗻𝘁𝗮𝘁𝗼:
▪️(63) 9 8453-6044 | Link na BIO.
▪️Qd. 101 Sul, Av. Joaquim Teotônio Segurado, Ed. Office Center, 2 Andar

#BlackInstitutoLucianePrado #Bastidores #BlackResignificada #InstitutoLucianePrado #Dermatologia #InstitutoLucianePradoPalmas",71,"10/30/2025 03:00",https://www.instagram.com/reel/DQbeQGCEjrt/,"Reel do Instagram",,Total,5250,3076,141,10,2,33,7
17926075764138415,17841402073846050,institutolucianeprado,"Instituto Luciane Prado","Em novembro, queremos te convidar a viver esse novo significado. Um tempo de oportunidade, de autocuidado e de realização.

Em breve, você vai entender o que preparamos para este mês especial.🖤

.
.
𝗖𝗼𝗻𝘁𝗮𝘁𝗼:
▪️(63) 9 8453-6044 | Link na BIO.
▪️Qd. 101 Sul, Av. Joaquim Teotônio Segurado, Ed. Office Center, 2 Andar

#BlackInstitutoLucianePrado #NovembroILP #BlackResignificada #InstitutoLucianePrado #Dermatologia #InstitutoLucianePradoPalmas",47,"10/28/2025 07:00",https://www.instagram.com/reel/DQWwF1ggG2l/,"Reel do Instagram",,Total,80610,28423,123,36,11,28,10
18404158669142909,17841401409613399,yasminpugliesi,"Dra. Yasmin Pugliesi • CRM-TO 4223 | RQE 3518","Estou voltando para a Coreia, e desta vez com a minha mãe! ✈️🇰🇷

Vai ser uma semana cheia de novidades e momentos especiais por aqui! Não deixe de acompanhar tudo com a gente! 🫰🏻",75,"10/27/2025 05:12",https://www.instagram.com/reel/DQT-xhJAHT3/,"Reel do Instagram",,Total,6507,3050,327,33,12,65,0
18077808734144207,17841402073846050,institutolucianeprado,"Instituto Luciane Prado","Nem sempre mais é melhor — especialmente quando falamos do malar.

O equilíbrio está em cuidar da flacidez de forma inteligente, devolvendo sustentação e leveza ao rosto, sem exageros.

Porque cuidar também é saber o momento de realçar… e o de apenas preservar. ✨

.
.
𝗖𝗼𝗻𝘁𝗮𝘁𝗼:
▪️(63) 9 8453-6044 | Link na BIO.
▪️Qd. 101 Sul, Av. Joaquim Teotônio Segurado, Ed. Office Center, 2 Andar

#Malar #HarmoniaFacial #Bioestimulador #InstitutoLucianePrado #Dermatologia #InstitutoLucianePradoPalmas",45,"10/23/2025 14:15",https://www.instagram.com/reel/DQKpxJoAA44/,"Reel do Instagram",,Total,892,730,23,4,0,2,2
18107140219611393,17841401409613399,yasminpugliesi,"Dra. Yasmin Pugliesi • CRM-TO 4223 | RQE 3518","Notou vermelhidão ou escurecimento na sua cicatriz?

Isso é super comum e, felizmente, dá para tratar! Os lasers ajudam a uniformizar o tom da pele, suavizar as marcas e melhorar o aspecto da cicatriz.

Foi exatamente o que fiz na minha cicatriz. Vem conferir!✨

—
𝐂𝐨𝐧𝐭𝐚𝐭𝐨𝐬:
📲(63) 3215-1991
📱(63) 98453-6044 - WhatsApp | Link na BIO.
📍Qd. 101 Sul, Av. Joaquim Teotônio Segurado, Ed. Office Center, 2 Andar
🖥️ Dra. Yasmin Pugliesi | Dermatologista

#Cicatriz #Laser #CirurgiaOncologica #Dermatologia #DermatologistaPalmas #YasminPugliesi",53,"10/22/2025 14:01",https://www.instagram.com/reel/DQIDfCjD4QS/,"Reel do Instagram",,Total,1956,1516,51,3,3,8,2
18109704478515377,17841402073846050,institutolucianeprado,"Instituto Luciane Prado","Há quem diga que a medicina é ciência. E é mesmo.
Mas, por aqui, ela também é afeto, presença e olhar atento.

Porque cuidar faz parte de quem somos, é uma escolha, um propósito e o nosso lar. 🏡💚

Feliz Dia do Médico! ✨

.
.
𝗖𝗼𝗻𝘁𝗮𝘁𝗼:
▪️(63) 9 8453-6044 | Link na BIO.
▪️Qd. 101 Sul, Av. Joaquim Teotônio Segurado, Ed. Office Center, 2 Andar

#DiaDoMedico #CuidarEProposito #MedicinaComAfeto #InstitutoLucianePrado #Dermatologia #InstitutoLucianePradoPalmas",41,"10/18/2025 03:45",https://www.instagram.com/reel/DP8p11ZAEma/,"Reel do Instagram",,Total,2650,1985,68,2,2,16,0
17900618013286210,17841402073846050,institutolucianeprado,"Instituto Luciane Prado","Para quem está em tratamento com Roacutan, a limpeza de pele não é apenas um detalhe, mas sim um passo essencial. Vem assistir o vídeo e entender a ciência por trás desse cuidado tão importante. ✨

.
.
𝗖𝗼𝗻𝘁𝗮𝘁𝗼:
▪️(63) 9 8453-6044 | Link na BIO.
▪️Qd. 101 Sul, Av. Joaquim Teotônio Segurado, Ed. Office Center, 2 Andar

#Roacutan #limpezadepele #InstitutoLucianePrado #Dermatologia #InstitutoLucianePradoPalmas",87,"10/16/2025 14:12",https://www.instagram.com/reel/DP4n-3AAGsQ/,"Reel do Instagram",,Total,78163,31413,116,40,37,12,7
18153750409399807,17841402073846050,institutolucianeprado,"Instituto Luciane Prado","Sei que muitas pacientes ficam inseguras ao pensar em um procedimento como o transplante de sobrancelhas.

O que sempre reforço é que cada detalhe importa: planejamento individual, respeito à naturalidade e acompanhamento profissional são essenciais para que o resultado seja seguro e harmônico. 💫

É exatamente esse cuidado que garante não só a estética, mas também a confiança e a expressão que suas sobrancelhas merecem.😊

.
.
𝗖𝗼𝗻𝘁𝗮𝘁𝗼:
▪️(63) 9 8453-6044 | Link na BIO.
▪️Qd. 101 Sul, Av. Joaquim Teotônio Segurado, Ed. Office Center, 2 Andar.

#TransplanteDeSobrancelhas #Sobrancelhas #Dermatologia #InstitutoLucianePrado #InstitutoLucianePradoPalmas",0,"10/15/2025 14:05",https://www.instagram.com/p/DP2CbqakpeJ/,"Carrossel do Instagram",,Total,6759,843,32,7,0,0,5
17975801903778441,17841402073846050,institutolucianeprado,"Instituto Luciane Prado","Você venceu a acne, mas ainda carrega as cicatrizes dessa fase? Conte com o nosso cuidado para tratar sua pele com carinho. Para cada tipo de cicatriz, existe uma alternativa, e estamos aqui para te mostrar todas elas. 🥰

.
.
𝗖𝗼𝗻𝘁𝗮𝘁𝗼:
▪️(63) 9 8453-6044 | Link na BIO.
▪️Qd. 101 Sul, Av. Joaquim Teotônio Segurado, Ed. Office Center, 2 Andar

#CicatrizDeAcne #Acne #Cicatriz #InstitutoLucianePrado #Dermatologia #InstitutoLucianePradoPalmas",63,"10/09/2025 04:23",https://www.instagram.com/reel/DPli9RrAO-1/,"Reel do Instagram",,Total,44955,20744,39,8,13,5,8
