"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,Respostas,Navegação,"Visitas ao perfil","Toques em figurinhas",Seguimentos
17964328742994322,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/31/2025 21:57",https://www.instagram.com/stories/institutolucianeprado/3756024798364445495,"Story do Instagram",,Total,546,375,4,0,0,485,3,,
18289185229257483,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/31/2025 21:53",https://www.instagram.com/stories/institutolucianeprado/3756022545226273627,"Story do Instagram",,Total,544,392,16,0,6,307,,4,
18043844336475412,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/31/2025 21:53",https://www.instagram.com/stories/institutolucianeprado/3756022539505252807,"Story do Instagram",,Total,452,401,3,0,0,420,,,
18383052445179882,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/31/2025 21:53",https://www.instagram.com/stories/institutolucianeprado/3756022491363019196,"Story do Instagram",,Total,493,428,12,2,2,409,,,
18088258075922750,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,17,"10/31/2025 17:07",https://www.instagram.com/stories/institutolucianeprado/3755878720705027417,"Story do Instagram",,Total,485,405,3,0,0,400,3,7,
18068959262348128,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/30/2025 17:45",https://www.instagram.com/stories/institutolucianeprado/3755173080881868199,"Story do Instagram",,Total,219,191,5,0,1,194,1,4,
17915259678212352,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/30/2025 17:45",https://www.instagram.com/stories/institutolucianeprado/3755173043930011180,"Story do Instagram",,Total,222,196,4,0,0,209,,,
17846022294597840,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/30/2025 17:45",https://www.instagram.com/stories/institutolucianeprado/3755173039366613027,"Story do Instagram",,Total,247,200,6,0,0,229,,,
18297645106266927,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/30/2025 17:45",https://www.instagram.com/stories/institutolucianeprado/3755173012170743737,"Story do Instagram",,Total,253,202,4,0,0,204,1,,
17842702257606285,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/30/2025 17:45",https://www.instagram.com/stories/institutolucianeprado/3755172993346762791,"Story do Instagram",,Total,244,207,8,0,3,221,,2,
18290008429274184,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/30/2025 17:45",https://www.instagram.com/stories/institutolucianeprado/3755172936656532302,"Story do Instagram",,Total,250,209,5,0,1,241,,,
18046156979422455,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/30/2025 17:45",https://www.instagram.com/stories/institutolucianeprado/3755172903487958995,"Story do Instagram",,Total,244,209,7,0,1,217,,5,
18132887635487179,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/30/2025 17:45",https://www.instagram.com/stories/institutolucianeprado/3755172853877709389,"Story do Instagram",,Total,245,217,4,0,1,222,,,
18102283144725617,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/30/2025 17:45",https://www.instagram.com/stories/institutolucianeprado/3755172840783133867,"Story do Instagram",,Total,275,235,4,0,1,247,1,,
18156837373391927,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/30/2025 06:42",https://www.instagram.com/stories/institutolucianeprado/3754839399797506697,"Story do Instagram",,Total,280,219,4,0,1,233,,4,
18069675389587335,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/30/2025 06:42",https://www.instagram.com/stories/institutolucianeprado/3754839347393875386,"Story do Instagram",,Total,256,223,4,0,0,227,,2,
17924028954157470,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/30/2025 06:42",https://www.instagram.com/stories/institutolucianeprado/3754839341890941168,"Story do Instagram",,Total,251,227,4,0,0,230,,,
17879904945307967,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/30/2025 06:42",https://www.instagram.com/stories/institutolucianeprado/3754839271099471983,"Story do Instagram",,Total,269,241,5,0,0,247,,,
18100405822676157,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",🖤,60,"10/30/2025 03:14",https://www.instagram.com/stories/institutolucianeprado/3754735115868101522,"Story do Instagram",,Total,305,253,8,0,0,278,2,,
18150459961416937,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/30/2025 03:11",https://www.instagram.com/stories/institutolucianeprado/3754733040551632780,"Story do Instagram",,Total,360,287,10,0,1,288,2,15,
17858735337471153,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/29/2025 07:19",https://www.instagram.com/stories/institutolucianeprado/3754133268032846561,"Story do Instagram",,Total,261,208,6,0,1,130,,,
18088972612929407,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/29/2025 07:19",https://www.instagram.com/stories/institutolucianeprado/3754133224873432898,"Story do Instagram",,Total,237,213,4,0,1,216,,,
17886406782387659,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/29/2025 07:19",https://www.instagram.com/stories/institutolucianeprado/3754133158586643470,"Story do Instagram",,Total,238,214,10,0,0,215,,,
17938094978966231,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/29/2025 07:19",https://www.instagram.com/stories/institutolucianeprado/3754133063946391030,"Story do Instagram",,Total,249,218,5,0,0,242,1,,
